Datum;Uhrzeit;ug/m
14.01.19;20:00;44,16
14.01.19;21:00;35,839
14.01.19;22:00;36,241
14.01.19;23:00;19,067
15.01.19;00:00;29,538
15.01.19;01:00;16,129
15.01.19;02:00;12,25
15.01.19;03:00;9,777
15.01.19;04:00;9,941
15.01.19;05:00;8,544
15.01.19;06:00;25,645
15.01.19;07:00;29,417
15.01.19;08:00;57,376
15.01.19;09:00;39,14
15.01.19;10:00;40,924
15.01.19;11:00;43,126
15.01.19;12:00;36,612
15.01.19;13:00;39,507
15.01.19;14:00;
15.01.19;15:00;21,68
15.01.19;16:00;35,935
15.01.19;17:00;53,656
15.01.19;18:00;42,691
15.01.19;19:00;32,047
15.01.19;20:00;36,674
15.01.19;21:00;25,299
15.01.19;22:00;30,275
15.01.19;23:00;16,491
16.01.19;00:00;19,798
16.01.19;01:00;14,733
16.01.19;02:00;13,491
16.01.19;03:00;10,319
16.01.19;04:00;9,898
16.01.19;05:00;13,605
16.01.19;06:00;15,636
16.01.19;07:00;30,257
16.01.19;08:00;34,065
16.01.19;09:00;49,944
16.01.19;10:00;58,769
16.01.19;11:00;41,814
16.01.19;12:00;32,102
16.01.19;13:00;32,626
16.01.19;14:00;34,304
16.01.19;15:00;30,963
16.01.19;16:00;40,03
16.01.19;17:00;46,953
16.01.19;18:00;40,835
16.01.19;19:00;34,534
16.01.19;20:00;28,089
16.01.19;21:00;26,682
16.01.19;22:00;22,081
16.01.19;23:00;22,942
17.01.19;00:00;19,973
17.01.19;01:00;15,42
17.01.19;02:00;11,983
17.01.19;03:00;7,209
17.01.19;04:00;10,216
17.01.19;05:00;12,332
17.01.19;06:00;21,788
17.01.19;07:00;28,925
17.01.19;08:00;48,163
17.01.19;09:00;41,201
17.01.19;10:00;
17.01.19;11:00;
17.01.19;12:00;
17.01.19;13:00;
17.01.19;14:00;
17.01.19;15:00;
17.01.19;16:00;38,178
17.01.19;17:00;69,123
17.01.19;18:00;60,679
17.01.19;19:00;47,438
17.01.19;20:00;46,182
17.01.19;21:00;39,638
17.01.19;22:00;27,33
17.01.19;23:00;22,297
